# Demand data for Scenario 2

param d_spt :=
s1 p1 1 0
s1 p1 2 0
s1 p1 3 0
s1 p1 4 0
s1 p1 5 0
s1 p1 6 0
s1 p1 7 0
s1 p2 1 4
s1 p2 2 21
s1 p2 3 22
s1 p2 4 25
s1 p2 5 14
s1 p2 6 17
s1 p2 7 25
s1 p3 1 0
s1 p3 2 0
s1 p3 3 0
s1 p3 4 0
s1 p3 5 0
s1 p3 6 0
s1 p3 7 0
s2 p1 1 32
s2 p1 2 10
s2 p1 3 21
s2 p1 4 14
s2 p1 5 27
s2 p1 6 22
s2 p1 7 19
s2 p2 1 0
s2 p2 2 0
s2 p2 3 0
s2 p2 4 0
s2 p2 5 0
s2 p2 6 0
s2 p2 7 0
s2 p3 1 0
s2 p3 2 0
s2 p3 3 0
s2 p3 4 0
s2 p3 5 0
s2 p3 6 0
s2 p3 7 0
s3 p1 1 24
s3 p1 2 19
s3 p1 3 19
s3 p1 4 5
s3 p1 5 8
s3 p1 6 27
s3 p1 7 21
s3 p2 1 0
s3 p2 2 0
s3 p2 3 0
s3 p2 4 0
s3 p2 5 0
s3 p2 6 0
s3 p2 7 0
s3 p3 1 0
s3 p3 2 0
s3 p3 3 0
s3 p3 4 0
s3 p3 5 0
s3 p3 6 0
s3 p3 7 0
s4 p1 1 0
s4 p1 2 0
s4 p1 3 0
s4 p1 4 0
s4 p1 5 0
s4 p1 6 0
s4 p1 7 0
s4 p2 1 0
s4 p2 2 0
s4 p2 3 0
s4 p2 4 0
s4 p2 5 0
s4 p2 6 0
s4 p2 7 0
s4 p3 1 5
s4 p3 2 8
s4 p3 3 27
s4 p3 4 11
s4 p3 5 27
s4 p3 6 0
s4 p3 7 7
s5 p1 1 0
s5 p1 2 0
s5 p1 3 0
s5 p1 4 0
s5 p1 5 0
s5 p1 6 0
s5 p1 7 0
s5 p2 1 25
s5 p2 2 23
s5 p2 3 32
s5 p2 4 22
s5 p2 5 28
s5 p2 6 21
s5 p2 7 20
s5 p3 1 0
s5 p3 2 0
s5 p3 3 0
s5 p3 4 0
s5 p3 5 0
s5 p3 6 0
s5 p3 7 0
s6 p1 1 10
s6 p1 2 2
s6 p1 3 16
s6 p1 4 3
s6 p1 5 4
s6 p1 6 25
s6 p1 7 13
s6 p2 1 0
s6 p2 2 0
s6 p2 3 0
s6 p2 4 0
s6 p2 5 0
s6 p2 6 0
s6 p2 7 0
s6 p3 1 0
s6 p3 2 0
s6 p3 3 0
s6 p3 4 0
s6 p3 5 0
s6 p3 6 0
s6 p3 7 0
s7 p1 1 0
s7 p1 2 0
s7 p1 3 0
s7 p1 4 0
s7 p1 5 0
s7 p1 6 0
s7 p1 7 0
s7 p2 1 17
s7 p2 2 6
s7 p2 3 16
s7 p2 4 24
s7 p2 5 29
s7 p2 6 12
s7 p2 7 14
s7 p3 1 0
s7 p3 2 0
s7 p3 3 0
s7 p3 4 0
s7 p3 5 0
s7 p3 6 0
s7 p3 7 0
s8 p1 1 4
s8 p1 2 25
s8 p1 3 6
s8 p1 4 2
s8 p1 5 5
s8 p1 6 6
s8 p1 7 9
s8 p2 1 0
s8 p2 2 0
s8 p2 3 0
s8 p2 4 0
s8 p2 5 0
s8 p2 6 0
s8 p2 7 0
s8 p3 1 0
s8 p3 2 0
s8 p3 3 0
s8 p3 4 0
s8 p3 5 0
s8 p3 6 0
s8 p3 7 0
s9 p1 1 21
s9 p1 2 31
s9 p1 3 8
s9 p1 4 21
s9 p1 5 4
s9 p1 6 22
s9 p1 7 4
s9 p2 1 0
s9 p2 2 0
s9 p2 3 0
s9 p2 4 0
s9 p2 5 0
s9 p2 6 0
s9 p2 7 0
s9 p3 1 0
s9 p3 2 0
s9 p3 3 0
s9 p3 4 0
s9 p3 5 0
s9 p3 6 0
s9 p3 7 0
s10 p1 1 0
s10 p1 2 0
s10 p1 3 0
s10 p1 4 0
s10 p1 5 0
s10 p1 6 0
s10 p1 7 0
s10 p2 1 0
s10 p2 2 0
s10 p2 3 0
s10 p2 4 0
s10 p2 5 0
s10 p2 6 0
s10 p2 7 0
s10 p3 1 17
s10 p3 2 24
s10 p3 3 9
s10 p3 4 18
s10 p3 5 23
s10 p3 6 31
s10 p3 7 8
;

