# Demand data for Scenario 1

param d_spt :=
s1 p1 1 0
s1 p1 2 0
s1 p1 3 0
s1 p1 4 0
s1 p1 5 0
s1 p1 6 0
s1 p1 7 0
s1 p2 1 15
s1 p2 2 6
s1 p2 3 23
s1 p2 4 21
s1 p2 5 9
s1 p2 6 4
s1 p2 7 17
s1 p3 1 0
s1 p3 2 0
s1 p3 3 0
s1 p3 4 0
s1 p3 5 0
s1 p3 6 0
s1 p3 7 0
s2 p1 1 14
s2 p1 2 31
s2 p1 3 19
s2 p1 4 22
s2 p1 5 1
s2 p1 6 19
s2 p1 7 6
s2 p2 1 0
s2 p2 2 0
s2 p2 3 0
s2 p2 4 0
s2 p2 5 0
s2 p2 6 0
s2 p2 7 0
s2 p3 1 0
s2 p3 2 0
s2 p3 3 0
s2 p3 4 0
s2 p3 5 0
s2 p3 6 0
s2 p3 7 0
s3 p1 1 30
s3 p1 2 20
s3 p1 3 11
s3 p1 4 10
s3 p1 5 13
s3 p1 6 5
s3 p1 7 14
s3 p2 1 0
s3 p2 2 0
s3 p2 3 0
s3 p2 4 0
s3 p2 5 0
s3 p2 6 0
s3 p2 7 0
s3 p3 1 0
s3 p3 2 0
s3 p3 3 0
s3 p3 4 0
s3 p3 5 0
s3 p3 6 0
s3 p3 7 0
s4 p1 1 0
s4 p1 2 0
s4 p1 3 0
s4 p1 4 0
s4 p1 5 0
s4 p1 6 0
s4 p1 7 0
s4 p2 1 0
s4 p2 2 0
s4 p2 3 0
s4 p2 4 0
s4 p2 5 0
s4 p2 6 0
s4 p2 7 0
s4 p3 1 5
s4 p3 2 32
s4 p3 3 0
s4 p3 4 14
s4 p3 5 26
s4 p3 6 16
s4 p3 7 27
s5 p1 1 0
s5 p1 2 0
s5 p1 3 0
s5 p1 4 0
s5 p1 5 0
s5 p1 6 0
s5 p1 7 0
s5 p2 1 1
s5 p2 2 29
s5 p2 3 20
s5 p2 4 17
s5 p2 5 8
s5 p2 6 31
s5 p2 7 10
s5 p3 1 0
s5 p3 2 0
s5 p3 3 0
s5 p3 4 0
s5 p3 5 0
s5 p3 6 0
s5 p3 7 0
s6 p1 1 25
s6 p1 2 6
s6 p1 3 27
s6 p1 4 1
s6 p1 5 7
s6 p1 6 13
s6 p1 7 4
s6 p2 1 0
s6 p2 2 0
s6 p2 3 0
s6 p2 4 0
s6 p2 5 0
s6 p2 6 0
s6 p2 7 0
s6 p3 1 0
s6 p3 2 0
s6 p3 3 0
s6 p3 4 0
s6 p3 5 0
s6 p3 6 0
s6 p3 7 0
s7 p1 1 0
s7 p1 2 0
s7 p1 3 0
s7 p1 4 0
s7 p1 5 0
s7 p1 6 0
s7 p1 7 0
s7 p2 1 4
s7 p2 2 18
s7 p2 3 32
s7 p2 4 22
s7 p2 5 28
s7 p2 6 6
s7 p2 7 6
s7 p3 1 0
s7 p3 2 0
s7 p3 3 0
s7 p3 4 0
s7 p3 5 0
s7 p3 6 0
s7 p3 7 0
s8 p1 1 11
s8 p1 2 29
s8 p1 3 22
s8 p1 4 25
s8 p1 5 14
s8 p1 6 23
s8 p1 7 11
s8 p2 1 0
s8 p2 2 0
s8 p2 3 0
s8 p2 4 0
s8 p2 5 0
s8 p2 6 0
s8 p2 7 0
s8 p3 1 0
s8 p3 2 0
s8 p3 3 0
s8 p3 4 0
s8 p3 5 0
s8 p3 6 0
s8 p3 7 0
s9 p1 1 1
s9 p1 2 30
s9 p1 3 28
s9 p1 4 12
s9 p1 5 8
s9 p1 6 15
s9 p1 7 15
s9 p2 1 0
s9 p2 2 0
s9 p2 3 0
s9 p2 4 0
s9 p2 5 0
s9 p2 6 0
s9 p2 7 0
s9 p3 1 0
s9 p3 2 0
s9 p3 3 0
s9 p3 4 0
s9 p3 5 0
s9 p3 6 0
s9 p3 7 0
s10 p1 1 0
s10 p1 2 0
s10 p1 3 0
s10 p1 4 0
s10 p1 5 0
s10 p1 6 0
s10 p1 7 0
s10 p2 1 0
s10 p2 2 0
s10 p2 3 0
s10 p2 4 0
s10 p2 5 0
s10 p2 6 0
s10 p2 7 0
s10 p3 1 10
s10 p3 2 18
s10 p3 3 2
s10 p3 4 2
s10 p3 5 16
s10 p3 6 13
s10 p3 7 18
;

