# Demand data for Scenario 9

param Demand :=
s1 p1 t1 702
s1 p1 t2 683
s1 p1 t3 664
s1 p2 t1 1128
s1 p2 t2 1222
s1 p2 t3 1052
s1 p3 t1 549
s1 p3 t2 412
s1 p3 t3 469
s1 p4 t1 1516
s1 p4 t2 1642
s1 p4 t3 1414
s1 p5 t1 1535
s1 p5 t2 1151
s1 p5 t3 1247
s2 p1 t1 801
s2 p1 t2 1002
s2 p1 t3 1086
s2 p2 t1 1365
s2 p2 t2 1365
s2 p2 t3 1327
s2 p3 t1 575
s2 p3 t2 495
s2 p3 t3 495
s2 p4 t1 2031
s2 p4 t2 1523
s2 p4 t3 1734
s2 p5 t1 730
s2 p5 t2 588
s2 p5 t3 637
s3 p1 t1 485
s3 p1 t2 526
s3 p1 t3 570
s3 p2 t1 1197
s3 p2 t2 1031
s3 p2 t3 1117
s3 p3 t1 665
s3 p3 t2 499
s3 p3 t3 485
s3 p4 t1 784
s3 p4 t2 762
s3 p4 t3 741
s3 p5 t1 560
s3 p5 t2 638
s3 p5 t3 479
s4 p1 t1 1630
s4 p1 t2 1947
s4 p1 t3 1893
s4 p2 t1 1320
s4 p2 t2 1650
s4 p2 t3 1879
s4 p3 t1 1978
s4 p3 t2 1813
s4 p3 t3 1813
s4 p4 t1 1101
s4 p4 t2 948
s4 p4 t3 817
s4 p5 t1 1534
s4 p5 t2 1832
s4 p5 t3 1476
s5 p1 t1 2022
s5 p1 t2 1854
s5 p1 t3 2317
s5 p2 t1 1196
s5 p2 t2 1097
s5 p2 t3 1006
s5 p3 t1 1590
s5 p3 t2 1457
s5 p3 t3 1093
s5 p4 t1 1699
s5 p4 t2 2124
s5 p4 t3 2655
s5 p5 t1 1185
s5 p5 t2 1151
s5 p5 t3 1151
;

