# Demand data for Scenario 8

param Demand :=
s1 p1 t1 670
s1 p1 t2 651
s1 p1 t3 633
s1 p2 t1 1075
s1 p2 t2 1165
s1 p2 t3 1003
s1 p3 t1 524
s1 p3 t2 393
s1 p3 t3 448
s1 p4 t1 1445
s1 p4 t2 1566
s1 p4 t3 1348
s1 p5 t1 1463
s1 p5 t2 1098
s1 p5 t3 1189
s2 p1 t1 764
s2 p1 t2 956
s2 p1 t3 1035
s2 p2 t1 1302
s2 p2 t2 1302
s2 p2 t3 1265
s2 p3 t1 548
s2 p3 t2 472
s2 p3 t3 472
s2 p4 t1 1936
s2 p4 t2 1452
s2 p4 t3 1654
s2 p5 t1 696
s2 p5 t2 560
s2 p5 t3 607
s3 p1 t1 462
s3 p1 t2 501
s3 p1 t3 543
s3 p2 t1 1141
s3 p2 t2 983
s3 p2 t3 1065
s3 p3 t1 634
s3 p3 t2 476
s3 p3 t3 462
s3 p4 t1 747
s3 p4 t2 727
s3 p4 t3 706
s3 p5 t1 534
s3 p5 t2 608
s3 p5 t3 457
s4 p1 t1 1555
s4 p1 t2 1856
s4 p1 t3 1805
s4 p2 t1 1258
s4 p2 t2 1573
s4 p2 t3 1791
s4 p3 t1 1886
s4 p3 t2 1729
s4 p3 t3 1729
s4 p4 t1 1050
s4 p4 t2 904
s4 p4 t3 779
s4 p5 t1 1462
s4 p5 t2 1747
s4 p5 t3 1408
s5 p1 t1 1928
s5 p1 t2 1768
s5 p1 t3 2209
s5 p2 t1 1140
s5 p2 t2 1046
s5 p2 t3 959
s5 p3 t1 1516
s5 p3 t2 1389
s5 p3 t3 1042
s5 p4 t1 1620
s5 p4 t2 2025
s5 p4 t3 2532
s5 p5 t1 1130
s5 p5 t2 1098
s5 p5 t3 1098
;

