# Demand data for Scenario 7

param Demand :=
s1 p1 t1 637
s1 p1 t2 620
s1 p1 t3 602
s1 p2 t1 1023
s1 p2 t2 1108
s1 p2 t3 954
s1 p3 t1 498
s1 p3 t2 374
s1 p3 t3 426
s1 p4 t1 1375
s1 p4 t2 1490
s1 p4 t3 1283
s1 p5 t1 1392
s1 p5 t2 1044
s1 p5 t3 1131
s2 p1 t1 727
s2 p1 t2 909
s2 p1 t3 985
s2 p2 t1 1238
s2 p2 t2 1238
s2 p2 t3 1204
s2 p3 t1 521
s2 p3 t2 448
s2 p3 t3 448
s2 p4 t1 1842
s2 p4 t2 1381
s2 p4 t3 1573
s2 p5 t1 662
s2 p5 t2 533
s2 p5 t3 577
s3 p1 t1 440
s3 p1 t2 477
s3 p1 t3 517
s3 p2 t1 1086
s3 p2 t2 935
s3 p2 t3 1013
s3 p3 t1 603
s3 p3 t2 453
s3 p3 t3 440
s3 p4 t1 711
s3 p4 t2 691
s3 p4 t3 672
s3 p5 t1 508
s3 p5 t2 579
s3 p5 t3 434
s4 p1 t1 1479
s4 p1 t2 1766
s4 p1 t3 1717
s4 p2 t1 1197
s4 p2 t2 1496
s4 p2 t3 1704
s4 p3 t1 1794
s4 p3 t2 1645
s4 p3 t3 1645
s4 p4 t1 999
s4 p4 t2 860
s4 p4 t3 741
s4 p5 t1 1391
s4 p5 t2 1662
s4 p5 t3 1339
s5 p1 t1 1834
s5 p1 t2 1681
s5 p1 t3 2102
s5 p2 t1 1084
s5 p2 t2 994
s5 p2 t3 912
s5 p3 t1 1442
s5 p3 t2 1322
s5 p3 t3 991
s5 p4 t1 1541
s5 p4 t2 1926
s5 p4 t3 2408
s5 p5 t1 1075
s5 p5 t2 1044
s5 p5 t3 1044
;

