# Demand data for Scenario 4

param Demand :=
s1 p1 t1 539
s1 p1 t2 524
s1 p1 t3 510
s1 p2 t1 865
s1 p2 t2 938
s1 p2 t3 808
s1 p3 t1 422
s1 p3 t2 316
s1 p3 t3 360
s1 p4 t1 1163
s1 p4 t2 1260
s1 p4 t3 1085
s1 p5 t1 1178
s1 p5 t2 884
s1 p5 t3 957
s2 p1 t1 615
s2 p1 t2 769
s2 p1 t3 833
s2 p2 t1 1048
s2 p2 t2 1048
s2 p2 t3 1018
s2 p3 t1 441
s2 p3 t2 380
s2 p3 t3 380
s2 p4 t1 1558
s2 p4 t2 1169
s2 p4 t3 1331
s2 p5 t1 560
s2 p5 t2 451
s2 p5 t3 489
s3 p1 t1 372
s3 p1 t2 403
s3 p1 t3 437
s3 p2 t1 919
s3 p2 t2 791
s3 p2 t3 857
s3 p3 t1 511
s3 p3 t2 383
s3 p3 t3 372
s3 p4 t1 601
s3 p4 t2 585
s3 p4 t3 568
s3 p5 t1 430
s3 p5 t2 490
s3 p5 t3 368
s4 p1 t1 1251
s4 p1 t2 1494
s4 p1 t3 1453
s4 p2 t1 1013
s4 p2 t2 1266
s4 p2 t3 1442
s4 p3 t1 1518
s4 p3 t2 1392
s4 p3 t3 1392
s4 p4 t1 845
s4 p4 t2 728
s4 p4 t3 627
s4 p5 t1 1177
s4 p5 t2 1406
s4 p5 t3 1133
s5 p1 t1 1552
s5 p1 t2 1423
s5 p1 t3 1778
s5 p2 t1 918
s5 p2 t2 842
s5 p2 t3 772
s5 p3 t1 1220
s5 p3 t2 1118
s5 p3 t3 839
s5 p4 t1 1304
s5 p4 t2 1630
s5 p4 t3 2038
s5 p5 t1 909
s5 p5 t2 884
s5 p5 t3 884
;

