# Demand data for Scenario 2

param Demand :=
s1 p1 t1 474
s1 p1 t2 461
s1 p1 t3 448
s1 p2 t1 760
s1 p2 t2 824
s1 p2 t3 710
s1 p3 t1 371
s1 p3 t2 278
s1 p3 t3 317
s1 p4 t1 1022
s1 p4 t2 1108
s1 p4 t3 954
s1 p5 t1 1035
s1 p5 t2 777
s1 p5 t3 841
s2 p1 t1 541
s2 p1 t2 676
s2 p1 t3 732
s2 p2 t1 921
s2 p2 t2 921
s2 p2 t3 895
s2 p3 t1 387
s2 p3 t2 334
s2 p3 t3 334
s2 p4 t1 1369
s2 p4 t2 1027
s2 p4 t3 1170
s2 p5 t1 492
s2 p5 t2 396
s2 p5 t3 429
s3 p1 t1 327
s3 p1 t2 354
s3 p1 t3 384
s3 p2 t1 807
s3 p2 t2 695
s3 p2 t3 753
s3 p3 t1 449
s3 p3 t2 337
s3 p3 t3 327
s3 p4 t1 528
s3 p4 t2 514
s3 p4 t3 499
s3 p5 t1 378
s3 p5 t2 430
s3 p5 t3 323
s4 p1 t1 1100
s4 p1 t2 1313
s4 p1 t3 1277
s4 p2 t1 890
s4 p2 t2 1112
s4 p2 t3 1267
s4 p3 t1 1334
s4 p3 t2 1223
s4 p3 t3 1223
s4 p4 t1 743
s4 p4 t2 640
s4 p4 t3 551
s4 p5 t1 1034
s4 p5 t2 1236
s4 p5 t3 996
s5 p1 t1 1364
s5 p1 t2 1250
s5 p1 t3 1563
s5 p2 t1 806
s5 p2 t2 740
s5 p2 t3 678
s5 p3 t1 1072
s5 p3 t2 983
s5 p3 t3 737
s5 p4 t1 1146
s5 p4 t2 1432
s5 p4 t3 1791
s5 p5 t1 799
s5 p5 t2 777
s5 p5 t3 777
;

