# Demand data for Scenario 5

param Demand :=
s1 p1 t1 572
s1 p1 t2 556
s1 p1 t3 541
s1 p2 t1 918
s1 p2 t2 995
s1 p2 t3 857
s1 p3 t1 447
s1 p3 t2 335
s1 p3 t3 382
s1 p4 t1 1234
s1 p4 t2 1337
s1 p4 t3 1151
s1 p5 t1 1249
s1 p5 t2 937
s1 p5 t3 1015
s2 p1 t1 652
s2 p1 t2 816
s2 p1 t3 884
s2 p2 t1 1111
s2 p2 t2 1111
s2 p2 t3 1080
s2 p3 t1 468
s2 p3 t2 403
s2 p3 t3 403
s2 p4 t1 1653
s2 p4 t2 1240
s2 p4 t3 1412
s2 p5 t1 594
s2 p5 t2 478
s2 p5 t3 518
s3 p1 t1 395
s3 p1 t2 428
s3 p1 t3 464
s3 p2 t1 974
s3 p2 t2 839
s3 p2 t3 909
s3 p3 t1 542
s3 p3 t2 406
s3 p3 t3 395
s3 p4 t1 638
s3 p4 t2 620
s3 p4 t3 603
s3 p5 t1 456
s3 p5 t2 519
s3 p5 t3 390
s4 p1 t1 1327
s4 p1 t2 1585
s4 p1 t3 1541
s4 p2 t1 1074
s4 p2 t2 1343
s4 p2 t3 1529
s4 p3 t1 1610
s4 p3 t2 1476
s4 p3 t3 1476
s4 p4 t1 896
s4 p4 t2 772
s4 p4 t3 665
s4 p5 t1 1248
s4 p5 t2 1491
s4 p5 t3 1202
s5 p1 t1 1646
s5 p1 t2 1509
s5 p1 t3 1886
s5 p2 t1 973
s5 p2 t2 893
s5 p2 t3 819
s5 p3 t1 1294
s5 p3 t2 1186
s5 p3 t3 890
s5 p4 t1 1383
s5 p4 t2 1729
s5 p4 t3 2161
s5 p5 t1 964
s5 p5 t2 937
s5 p5 t3 937
;

