# Demand data for Scenario 6

param Demand :=
s1 p1 t1 588
s1 p1 t2 572
s1 p1 t3 556
s1 p2 t1 944
s1 p2 t2 1023
s1 p2 t3 881
s1 p3 t1 460
s1 p3 t2 345
s1 p3 t3 393
s1 p4 t1 1269
s1 p4 t2 1375
s1 p4 t3 1184
s1 p5 t1 1285
s1 p5 t2 964
s1 p5 t3 1044
s2 p1 t1 671
s2 p1 t2 839
s2 p1 t3 909
s2 p2 t1 1143
s2 p2 t2 1143
s2 p2 t3 1111
s2 p3 t1 481
s2 p3 t2 414
s2 p3 t3 414
s2 p4 t1 1700
s2 p4 t2 1275
s2 p4 t3 1452
s2 p5 t1 611
s2 p5 t2 492
s2 p5 t3 533
s3 p1 t1 406
s3 p1 t2 440
s3 p1 t3 477
s3 p2 t1 1002
s3 p2 t2 863
s3 p2 t3 935
s3 p3 t1 557
s3 p3 t2 418
s3 p3 t3 406
s3 p4 t1 656
s3 p4 t2 638
s3 p4 t3 620
s3 p5 t1 469
s3 p5 t2 534
s3 p5 t3 401
s4 p1 t1 1365
s4 p1 t2 1630
s4 p1 t3 1585
s4 p2 t1 1105
s4 p2 t2 1381
s4 p2 t3 1573
s4 p3 t1 1656
s4 p3 t2 1518
s4 p3 t3 1518
s4 p4 t1 922
s4 p4 t2 794
s4 p4 t3 684
s4 p5 t1 1284
s4 p5 t2 1534
s4 p5 t3 1236
s5 p1 t1 1693
s5 p1 t2 1552
s5 p1 t3 1940
s5 p2 t1 1001
s5 p2 t2 918
s5 p2 t3 842
s5 p3 t1 1331
s5 p3 t2 1220
s5 p3 t3 915
s5 p4 t1 1422
s5 p4 t2 1778
s5 p4 t3 2223
s5 p5 t1 992
s5 p5 t2 964
s5 p5 t3 964
;

