# Demand data for Scenario 1

param Demand :=
s1 p1 t1 441
s1 p1 t2 429
s1 p1 t3 417
s1 p2 t1 708
s1 p2 t2 767
s1 p2 t3 661
s1 p3 t1 345
s1 p3 t2 259
s1 p3 t3 295
s1 p4 t1 952
s1 p4 t2 1031
s1 p4 t3 888
s1 p5 t1 964
s1 p5 t2 723
s1 p5 t3 783
s2 p1 t1 503
s2 p1 t2 629
s2 p1 t3 682
s2 p2 t1 857
s2 p2 t2 857
s2 p2 t3 833
s2 p3 t1 361
s2 p3 t2 311
s2 p3 t3 311
s2 p4 t1 1275
s2 p4 t2 956
s2 p4 t3 1089
s2 p5 t1 458
s2 p5 t2 369
s2 p5 t3 400
s3 p1 t1 305
s3 p1 t2 330
s3 p1 t3 358
s3 p2 t1 752
s3 p2 t2 647
s3 p2 t3 701
s3 p3 t1 418
s3 p3 t2 314
s3 p3 t3 305
s3 p4 t1 492
s3 p4 t2 479
s3 p4 t3 465
s3 p5 t1 352
s3 p5 t2 401
s3 p5 t3 301
s4 p1 t1 1024
s4 p1 t2 1223
s4 p1 t3 1189
s4 p2 t1 829
s4 p2 t2 1036
s4 p2 t3 1180
s4 p3 t1 1242
s4 p3 t2 1139
s4 p3 t3 1139
s4 p4 t1 692
s4 p4 t2 596
s4 p4 t3 513
s4 p5 t1 963
s4 p5 t2 1151
s4 p5 t3 927
s5 p1 t1 1270
s5 p1 t2 1164
s5 p1 t3 1455
s5 p2 t1 751
s5 p2 t2 689
s5 p2 t3 632
s5 p3 t1 998
s5 p3 t2 915
s5 p3 t3 686
s5 p4 t1 1067
s5 p4 t2 1334
s5 p4 t3 1667
s5 p5 t1 744
s5 p5 t2 723
s5 p5 t3 723
;

