# Demand data for Scenario 3

param Demand :=
s1 p1 t1 506
s1 p1 t2 493
s1 p1 t3 479
s1 p2 t1 813
s1 p2 t2 881
s1 p2 t3 759
s1 p3 t1 396
s1 p3 t2 297
s1 p3 t3 338
s1 p4 t1 1093
s1 p4 t2 1184
s1 p4 t3 1020
s1 p5 t1 1107
s1 p5 t2 830
s1 p5 t3 899
s2 p1 t1 578
s2 p1 t2 722
s2 p1 t3 783
s2 p2 t1 984
s2 p2 t2 984
s2 p2 t3 957
s2 p3 t1 414
s2 p3 t2 357
s2 p3 t3 357
s2 p4 t1 1464
s2 p4 t2 1098
s2 p4 t3 1250
s2 p5 t1 526
s2 p5 t2 424
s2 p5 t3 459
s3 p1 t1 350
s3 p1 t2 379
s3 p1 t3 411
s3 p2 t1 863
s3 p2 t2 743
s3 p2 t3 805
s3 p3 t1 480
s3 p3 t2 360
s3 p3 t3 350
s3 p4 t1 565
s3 p4 t2 549
s3 p4 t3 534
s3 p5 t1 404
s3 p5 t2 460
s3 p5 t3 345
s4 p1 t1 1175
s4 p1 t2 1404
s4 p1 t3 1365
s4 p2 t1 952
s4 p2 t2 1189
s4 p2 t3 1355
s4 p3 t1 1426
s4 p3 t2 1307
s4 p3 t3 1307
s4 p4 t1 794
s4 p4 t2 684
s4 p4 t3 589
s4 p5 t1 1106
s4 p5 t2 1321
s4 p5 t3 1064
s5 p1 t1 1458
s5 p1 t2 1336
s5 p1 t3 1671
s5 p2 t1 862
s5 p2 t2 791
s5 p2 t3 725
s5 p3 t1 1146
s5 p3 t2 1051
s5 p3 t3 788
s5 p4 t1 1225
s5 p4 t2 1531
s5 p4 t3 1914
s5 p5 t1 854
s5 p5 t2 830
s5 p5 t3 830
;

